City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
209,Carnarvon,AU,2021-03-12 23:01:30,-24.8667,113.6333,77.0,69,55,17.27
210,Liepaja,LV,2021-03-12 23:02:25,56.5419,21.0367,37.4,93,75,18.41
211,Vieste,IT,2021-03-12 23:02:25,41.8825,16.175,55.4,71,40,2.3
212,Wattegama,LK,2021-03-12 23:02:26,6.7989,81.4808,72.41,87,12,5.55
213,Torbay,CA,2021-03-12 23:02:18,47.6666,-52.7314,42.01,100,90,35.68
214,Santiago Del Estero,AR,2021-03-12 23:01:30,-27.7951,-64.2615,80.04,44,12,7.61
215,Irtyshskiy,RU,2021-03-12 23:02:27,58.3333,68.1333,2.17,95,100,9.57
216,Garmsar,IR,2021-03-12 23:02:27,35.2182,52.3409,42.46,59,100,9.73
217,Fuquay-Varina,US,2021-03-12 23:00:01,35.5843,-78.8,77.0,41,90,5.26
218,Lebu,CL,2021-03-12 23:02:28,-37.6167,-73.65,59.23,83,0,16.46
219,San Ramon,US,2021-03-12 22:58:40,37.7799,-121.978,68.0,25,1,5.75
220,Victoria,HK,2021-03-12 23:01:24,22.2855,114.1577,70.0,84,87,18.39
221,Oranjestad,AW,2021-03-12 23:00:11,12.524,-70.027,82.4,65,20,16.11
222,Mar Del Plata,AR,2021-03-12 23:02:23,-38.0023,-57.5575,64.99,63,0,6.91
223,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
224,Port Elizabeth,ZA,2021-03-12 22:59:58,-33.918,25.5701,68.0,94,0,5.37
225,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
226,Deogarh,IN,2021-03-12 23:01:28,21.5333,84.7333,70.03,48,23,1.95
227,Garowe,SO,2021-03-12 23:02:30,8.4054,48.4845,63.21,87,0,6.31
228,Souillac,MU,2021-03-12 23:02:30,-20.5167,57.5167,78.8,73,40,6.91
229,Las Matas De Farfan,DO,2021-03-12 23:02:31,18.8731,-71.5166,70.68,83,29,3.38
230,Busselton,AU,2021-03-12 23:01:14,-33.65,115.3333,46.0,87,0,11.7
231,Bonthe,SL,2021-03-12 23:02:32,7.5264,-12.505,80.6,81,71,10.8
232,Cape Town,ZA,2021-03-12 22:56:26,-33.9258,18.4232,66.0,94,0,4.61
233,Hermanus,ZA,2021-03-12 23:01:18,-34.4187,19.2345,63.0,92,88,3.0
234,Saint-Augustin,CA,2021-03-12 23:02:02,51.226,-58.6502,30.87,82,100,23.17
235,Bredasdorp,ZA,2021-03-12 23:02:05,-34.5322,20.0403,59.0,94,62,3.44
236,Ilulissat,GL,2021-03-12 23:02:33,69.2167,-51.1,8.6,66,44,3.53
237,Port Alfred,ZA,2021-03-12 23:01:41,-33.5906,26.891,74.77,84,12,17.92
238,Ushuaia,AR,2021-03-12 23:01:15,-54.8,-68.3,51.8,71,75,31.07
239,Victoria,HK,2021-03-12 23:01:24,22.2855,114.1577,70.0,84,87,18.39
240,Vila Franca Do Campo,PT,2021-03-12 23:02:34,37.7167,-25.4333,57.2,94,75,6.91
241,Qaanaaq,GL,2021-03-12 23:01:32,77.484,-69.3632,-2.07,78,99,1.59
