City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1792,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
1794,Nara,JP,57.2,few clouds,34.6851,135.8049,Guesthouse Nara Komachi
1796,New Norfolk,AU,59.0,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
1797,Punta Arenas,CL,39.2,broken clouds,-53.15,-70.9167,Hotel Dreams Del Estrecho
1800,Bluff,NZ,66.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
1806,Bethel,US,36.0,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
1807,Saldanha,ZA,68.0,broken clouds,-33.0117,17.9442,Blue Bay Lodge
1809,Castro,BR,60.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
1810,Chuy,UY,57.74,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
1811,Jamestown,US,37.0,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
1813,Colares,PT,59.0,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
1821,Jalu,LY,69.82,overcast clouds,29.0331,21.5482,صاحبة الفخامة
1825,Castro,BR,60.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
1829,Toktogul,KG,42.67,overcast clouds,41.8708,72.9402,KAGAN
1830,Aras,ES,51.8,broken clouds,42.5617,-2.356,Jardines de Viana Spa
1832,Shaunavon,CA,32.0,clear sky,49.6501,-108.4181,Bear's Den Lodge
1834,Camargo,MX,45.72,scattered clouds,27.6667,-105.1667,Hotel Santa Fe
1835,Esperance,AU,66.2,clear sky,-33.8667,121.9,Hospitality Esperance
1837,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
1840,Coquimbo,CL,60.8,overcast clouds,-29.9533,-71.3436,Punto de encuentro
1841,Mount Gambier,AU,60.8,scattered clouds,-37.8333,140.7667,Commodore on the Park
1842,Hofn,IS,32.04,light snow,64.2539,-15.2082,Hótel Höfn
1847,Ahipara,NZ,61.27,clear sky,-35.1667,173.1667,Ahipara Holiday Park
1849,Port Lincoln,AU,59.9,clear sky,-34.7333,135.8667,Port Lincoln Hotel
1852,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
1854,Ushuaia,AR,37.4,scattered clouds,-54.8,-68.3,Albatros Hotel
1856,Saint Paul,US,42.8,clear sky,44.9444,-93.0933,InterContinental Saint Paul Riverfront
1857,Saint George,US,44.01,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
1860,Northam,GB,50.0,scattered clouds,51.0333,-4.2167,Durrant House Hotel
1862,Venado Tuerto,AR,64.0,clear sky,-33.7456,-61.9688,Hotel - Miro Park
1868,Fort Saint James,CA,34.41,overcast clouds,54.4333,-124.25,The View Hotel
1869,Boksitogorsk,RU,33.53,overcast clouds,59.474,33.8485,Теплый Стан
1870,Tuatapere,NZ,66.0,moderate rain,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
1871,Cape Town,ZA,68.0,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1874,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
1875,Klaksvik,FO,41.0,few clouds,62.2266,-6.5889999999999995,Airbnb rooms
1877,Fortuna,US,45.0,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
1878,New Norfolk,AU,59.0,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
1879,Mar Del Plata,AR,64.99,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
1882,Nantucket,US,37.99,broken clouds,41.2835,-70.0995,Jared Coffin House
1887,Ponta Do Sol,PT,60.8,scattered clouds,32.6667,-17.1,Hotel do Campo
1892,Nikolskoye,RU,37.99,overcast clouds,59.7035,30.7861,Tourist House - Sablino
1901,Cape Town,ZA,68.0,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
1913,Mataura,NZ,66.0,scattered clouds,-46.1927,168.8643,Ellie's Villa
1916,Kushima,JP,59.0,few clouds,31.4583,131.2333,Hanaoka
1917,Bluff,NZ,66.0,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
1921,Esperance,AU,66.2,clear sky,-33.8667,121.9,Hospitality Esperance
1922,New Norfolk,AU,59.0,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
1925,Jalu,LY,69.82,overcast clouds,29.0331,21.5482,صاحبة الفخامة
1926,Dunedin,NZ,60.01,clear sky,-45.8742,170.5036,Scenic Hotel Southern Cross
1928,Castro,BR,60.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
1929,Ponta Do Sol,PT,60.8,scattered clouds,32.6667,-17.1,Hotel do Campo
1930,Castro,BR,60.85,clear sky,-24.7911,-50.0119,CHACARA BAILLY
1936,Saldanha,ZA,68.0,broken clouds,-33.0117,17.9442,Blue Bay Lodge
1940,Hilo,US,69.8,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
1941,New Norfolk,AU,59.0,moderate rain,-42.7826,147.0587,The Shingles Riverside Cottages
