City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1023,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
1024,Naryan-Mar,RU,67.6713,53.087,4.24,96,91,8.88,overcast clouds
1025,Barrow,US,71.2906,-156.7887,-2.2,65,1,12.66,clear sky
1026,Busselton,AU,-33.65,115.3333,60.01,71,0,4,clear sky
1027,Huoqiu,CN,32.3394,116.2694,54.45,75,0,8.32,clear sky
1028,Bredasdorp,ZA,-34.5322,20.0403,66.2,88,57,9.22,broken clouds
1029,Kavieng,PG,-2.5744,150.7967,84.42,60,6,1.99,clear sky
1030,Pisco,PE,-13.7,-76.2167,75.2,73,0,3.44,clear sky
1031,Kargopol,RU,61.5071,38.9456,28.67,95,100,10.56,snow
1032,Tuktoyaktuk,CA,69.4541,-133.0374,-9.4,84,90,4.61,overcast clouds
1033,Chikwawa,MW,-16.0335,34.8009,72.14,99,98,3.76,light rain
1034,Ostersund,SE,63.1792,14.6357,32,100,90,2.3,overcast clouds
1035,Clonakilty,IE,51.6231,-8.8706,39.99,81,20,16.11,few clouds
1036,Vaini,TO,-21.2,-175.2,78.8,83,75,8.05,light rain
1037,Hobart,AU,-42.8794,147.3294,59,38,0,17.27,clear sky
1038,La Ronge,CA,55.1001,-105.2842,32,51,41,9.22,scattered clouds
1039,Bambous Virieux,MU,-20.3428,57.7575,80.6,83,75,8.05,light rain
1040,San Patricio,US,28.017,-97.5169,77,78,90,25.32,overcast clouds
1041,Coihaique,CL,-45.5752,-72.0662,59,67,0,3.44,clear sky
1042,Coihaique,CL,-45.5752,-72.0662,59,67,0,3.44,clear sky
1043,Esperance,AU,-33.8667,121.9,60.8,63,53,6.91,broken clouds
1044,Khatanga,RU,71.9667,102.5,-20.51,94,66,12.03,broken clouds
1045,Ushuaia,AR,-54.8,-68.3,42.8,65,75,23.02,broken clouds
1046,Nishihara,JP,26.1842,127.7558,68,55,75,6.91,broken clouds
1047,Avarua,CK,-21.2078,-159.775,84.2,70,7,5.75,clear sky
1048,Mataura,NZ,-46.1927,168.8643,73,46,0,14,clear sky
1049,Karonga,MW,-9.9333,33.9333,71.89,85,97,4.97,light rain
1050,Saint-Francois,FR,46.4154,3.9054,39.2,87,90,11.5,overcast clouds
1051,Guanare,VE,9.0418,-69.7421,93.2,36,79,2.3,broken clouds
1052,Castro,BR,-24.7911,-50.0119,66.43,78,49,4.47,scattered clouds
